freq                    	Gain_Gc2vo              	Phase_Gc2vo             
25.40972705549305032946  	-118.4172237567402419245 	179.98542276573135723083 
25.703957827688633130947 	-118.4172235511716166911 	179.98525396915411533882 
26.001595631652719475824 	-118.4172233408146581723 	179.98508321828305156487 
26.302679918953817406191 	-118.4172231255579390563 	179.98491048989654927936 
26.607250597988098661517 	-118.4172229052870761734 	179.98473576164593623616 
26.91534803926915486727  	-118.4172226798855689367 	179.98455901035146098366 
27.227013080779123299635 	-118.4172224492337619495 	179.98438021182255397434 
27.542287033381661842668 	-118.4172222132092997526 	179.98419934316436297195 
27.861211686297700396153 	-118.4172219716872120898 	179.98401638014533432397 
28.183829312644537168353 	-118.4172217245392602081 	179.98383129872212293776 
28.510182675039096977798 	-118.4172214716345763463 	179.98364407397102127106 
28.840315031266058554138 	-118.4172212128389105601 	179.98345468105677014137 
