F,Gr,Gi,magnitude,phase
89000.0,0.0013171893166423962,0.0008149887487020978,-56.19934568835929,31.746453993210363
90000.0,0.001296748972453876,0.0013769907620412418,-54.464007578474295,46.718991679420654
91000.0,0.0009320312749990142,0.0017985319690113247,-53.86856194448866,62.606005387130516
92000.0,0.00031577153229281324,0.001868633499052697,-54.44723788906888,80.40847096514136
93000.0,-0.0002421355540127851,0.0015918041959998247,-55.86286222876171,98.64918143179848
94000.0,-0.00036222676414898313,0.0010098489264237743,-59.38923513147354,109.73260629845126
95000.0,-0.0004200625392682384,0.000807034792883457,-60.82096773887953,117.49702922919364
96000.0,-0.00044706387376543364,0.0004731106015900102,-63.72941793723171,133.37860186157178
97000.0,-0.0003242586016405367,5.541828854476491e-05,-69.65713228734644,170.3014162546222
98000.0,-5.388851203473355e-05,-1.3442928893559154e-05,-85.10789309808388,-165.99297937926997
99000.0,-0.00013185964998039564,-3.441959921119382e-05,-77.31148899202947,-165.37040803282346
100000.0,2.3586558186827994e-05,-0.00016846258436832638,-75.38561983640268,-82.0297903864011
